onset	text	duration
0.83	Let's	0.42000000000000004
1.25	all	0.30000000000000004
1.55	go	0.27
1.82	to	0.11999999999999988
1.94	the	0.27
2.21	lobby	1.17
3.68	Let's	0.44999999999999973
4.13	all	0.27000000000000046
4.4	go	0.2999999999999998
4.7	to	0.08999999999999986
4.79	the	0.2999999999999998
5.09	lobby	1.08
6.5	Let's	0.4500000000000002
6.95	all	0.2999999999999998
7.25	go	0.2400000000000002
7.49	to	0.1200000000000001
7.61	the	0.2699999999999996
7.88	lobby	1.3199999999999994
9.23	to	0.11999999999999922
9.35	get	0.45000000000000107
9.8	ourselves	0.6899999999999995
10.49	a	0.08999999999999986
10.58	treat	0.33000000000000007
12.92	Things	0.41999999999999993
13.34	do	0.21000000000000085
13.55	eat	0.4499999999999993
14.96	the	0.14999999999999858
15.11	popcorn	0.6600000000000001
15.77	Can't	0.39000000000000057
16.16	be	0.23999999999999844
16.4	beat	0.39000000000000057
17.63	The	0.21000000000000085
17.84	sparkling	0.75
18.59	drinks	0.41000000000000014
19.01	are	0.05999999999999872
19.07	just	0.3200000000000003
19.4	dandy	1.110000000000003
20.72	The	0.15000000000000213
20.87	chocolate	0.5999999999999979
21.47	bars	0.45000000000000284
21.92	and	0.11999999999999744
22.04	the	0.15000000000000213
22.22	candy	0.9600000000000009
23.18	saw	0.5700000000000003
23.78	let's	0.41999999999999815
24.2	all	0.240000000000002
24.44	go	0.3299999999999983
24.77	to	0.120000000000001
24.89	the	0.23999999999999844
25.13	lobby	1.1400000000000006
26.51	to	0.14999999999999858
26.66	get	0.4499999999999993
27.11	ourselves	0.6900000000000013
27.8	a	0.08999999999999986
27.89	treat	0.3000000000000007
29.54	Let's	0.4200000000000017
29.96	all	0.2699999999999996
30.23	go	0.3000000000000007
30.53	to	0.11999999999999744
30.65	the	0.2700000000000031
31.04	uh	0.75
31.85	the	1.5
128.19	how's	0.15000000000000568
128.34	your	0.09000000000000341
128.43	blue	0.18000000000000682
128.61	pen	0.29999999999998295
130.86	Yeah	0.14999999999997726
131.04	Good	0.2400000000000091
133.26	Very	0.18000000000000682
133.44	good	0.18000000000000682
134.85	You	0.12000000000000455
134.97	have	0.12000000000000455
135.09	a	0.060000000000002274
135.16	written	0.20000000000001705
135.36	word	0.23999999999998067
135.6	Have	0.12000000000000455
135.72	you	0.18000000000000682
136.35	you	0.15000000000000568
136.5	just	0.21000000000000796
136.71	wrote	0.15000000000000568
136.86	still	0.20999999999997954
137.07	has	0.15000000000000568
137.22	trust	0.30000000000001137
137.52	issues	0.3299999999999841
139.51	and	0.15000000000000568
139.66	you	0.12000000000000455
139.78	read	0.15000000000000568
139.93	my	0.09000000000000341
140.02	writing	0.29999999999998295
140.32	upside	0.27000000000001023
140.59	down	0.29999999999998295
143.59	You	0.09000000000000341
143.68	see	0.15000000000000568
143.83	what	0.11999999999997613
143.95	I	0.030000000000001137
143.98	mean	0.27000000000001023
146.32	John	0.36000000000001364
149.08	you	0.11999999999997613
149.26	a	0.030000000000001137
149.29	soldier	0.4200000000000159
151.08	It's	0.1599999999999966
151.24	going	0.12000000000000455
151.36	to	0.05999999999997385
151.42	take	0.21000000000000796
151.63	you	0.12000000000000455
151.75	a	0.030000000000001137
151.78	while	0.18000000000000682
151.96	to	0.12000000000000455
152.08	adjust	0.29999999999998295
152.38	to	0.060000000000002274
152.44	civilian	0.36000000000001364
152.8	life	0.38999999999998636
154.29	Okay	0.09000000000000341
154.65	I'm	0.12000000000000455
154.77	writing	0.23999999999998067
155.01	a	0.09000000000000341
155.1	blog	0.45000000000001705
155.64	about	0.27000000000001023
155.91	everything	0.3900000000000148
156.3	that	0.11999999999997613
156.42	happens	0.36000000000001364
156.78	to	0.09000000000000341
156.87	you	0.2699999999999818
157.56	Well	0.18000000000000682
157.8	honestly	0.5999999999999943
158.4	help	0.3299999999999841
158.73	here	0.3300000000000125
161.31	Nothing	0.3599999999999852
161.67	happens	0.3900000000000148
162.06	to	0.12000000000000455
162.18	me	0.18000000000000682
200.43	what	0.20999999999997954
200.64	did	0.09000000000000341
200.73	we	0.09000000000000341
200.82	miss	0.17000000000001592
201.0	anybody	0.4199999999999875
202.26	to	0.15000000000000568
203.11	I'm	0.10999999999998522
203.22	sorry	0.6599999999999966
204.12	Get	0.15000000000000568
204.27	a	0.060000000000002274
204.33	cab	0.47999999999998977
205.56	Cubs	0.5099999999999909
210.66	Get	0.47999999999998977
211.2	a	0.3900000000000148
211.62	cab	0.75
232.33	my	0.1799999999999784
232.51	husband	0.4200000000000159
234.61	was	0.1799999999999784
234.79	a	0.060000000000002274
234.85	happy	0.3900000000000148
235.24	man	0.2699999999999818
236.44	Live	0.27000000000001023
236.71	life	0.29999999999998295
237.01	to	0.18000000000000682
237.19	the	0.12000000000000455
237.31	full	0.2400000000000091
238.78	He	0.09000000000000341
238.87	loved	0.3299999999999841
239.2	his	0.18000000000000682
239.38	family	0.45000000000001705
240.34	and	0.21000000000000796
240.55	his	0.1799999999999784
240.73	work	0.3900000000000148
242.86	and	0.1799999999999784
243.04	that	0.12000000000000455
243.16	he	0.12000000000000455
243.28	should	0.2400000000000091
243.52	have	0.11999999999997613
243.64	taken	0.4200000000000159
244.06	his	0.21000000000000796
244.27	own	0.20999999999997954
244.48	life	0.3300000000000125
245.02	in	0.1799999999999784
245.2	this	0.18000000000000682
245.38	way	0.30000000000001137
247.36	He's	0.1799999999999784
247.54	a	0.060000000000002274
247.6	mystery	0.5100000000000193
249.43	and	0.20999999999997954
249.64	a	0.060000000000002274
249.7	shock	0.45000000000001705
250.9	to	0.18000000000000682
251.08	all	0.20999999999997954
251.29	who	0.2400000000000091
251.53	knew	0.3300000000000125
251.92	him	0.27000000000001023
314.48	yeah	0.14999999999997726
314.63	If	0.060000000000002274
314.69	you	0.12000000000000455
314.81	can	0.12000000000000455
314.93	call	0.30000000000001137
315.23	it	0.12000000000000455
315.35	though	0.20999999999997954
338.34	porcini	0.5400000000000205
338.88	minister	0.3299999999999841
339.21	for	0.12000000000000455
339.33	transport	0.7200000000000273
344.46	Luminary	0.4800000000000182
344.94	investigations	0.8600000000000136
345.8	suggest	0.339999999999975
346.14	that	0.09000000000003183
346.23	this	0.14999999999997726
346.38	was	0.14999999999997726
346.53	suicide	0.7200000000000273
347.64	We	0.18000000000000682
347.82	can	0.1500000000000341
347.97	confirm	0.5699999999999932
348.54	that	0.14999999999997726
348.69	this	0.20999999999997954
348.9	apparent	0.5100000000000477
349.41	suicide	0.8100000000000023
350.28	closely	0.4200000000000159
350.7	resembles	0.4800000000000182
351.18	those	0.2699999999999818
351.45	of	0.12000000000000455
351.57	so	0.12000000000000455
351.69	Jeffery	0.36000000000001364
352.05	Patterson	0.5699999999999932
353.1	and	0.14999999999997726
353.25	James	0.30000000000001137
353.79	more	0.2699999999999818
354.93	in	0.14999999999997726
355.08	the	0.060000000000002274
355.14	light	0.2400000000000091
355.38	of	0.12000000000000455
355.5	this	0.18000000000000682
355.68	these	0.20999999999997954
355.89	incidents	0.5400000000000205
356.43	are	0.060000000000002274
356.49	now	0.12000000000000455
356.61	being	0.20999999999997954
356.82	treated	0.36000000000001364
357.29	Lint	0.47999999999996135
357.92	The	0.12000000000000455
358.04	Investigation	0.6899999999999977
358.73	is	0.14999999999997726
358.88	ongoing	0.5099999999999909
359.39	but	0.18000000000000682
359.57	detective	0.44999999999998863
360.02	inspector	0.3900000000000432
360.41	listed	0.40999999999996817
360.82	we'll	0.12999999999999545
360.95	take	0.21000000000003638
361.16	questions	0.5099999999999909
361.67	Now	0.2400000000000091
362.96	detective	0.5100000000000477
363.47	inspector	0.5099999999999909
363.98	how	0.18000000000000682
364.16	can	0.17999999999994998
364.34	suicides	0.5400000000000205
364.88	be	0.14999999999997726
365.03	linked	0.4200000000000159
365.87	Well	0.20999999999997954
366.08	they	0.21000000000003638
366.29	all	0.2699999999999818
366.56	do	0.08999999999997499
366.74	The	0.12000000000000455
366.86	same	0.38999999999998636
367.25	poison	0.7799999999999727
368.12	Um	0.4200000000000159
368.63	they	0.14999999999997726
368.78	were	0.09000000000003183
368.87	all	0.3299999999999841
369.2	found	0.5099999999999909
369.71	in	0.18000000000000682
369.89	places	0.44999999999998863
370.34	that	0.08000000000004093
370.42	have	0.060000000000002274
370.48	no	0.12999999999999545
370.61	reason	0.3299999999999841
370.94	to	0.060000000000002274
371.0	be	0.30000000000001137
372.38	None	0.2699999999999818
372.65	of	0.09000000000003183
372.74	them	0.12000000000000455
372.86	had	0.08999999999997499
372.95	shown	0.2400000000000091
373.19	any	0.18000000000000682
373.37	prior	0.5400000000000205
373.91	indication	0.8100000000000023
374.75	of	0.060000000000002274
374.81	suicides	0.7799999999999727
376.07	Well	0.2400000000000091
376.31	apparently	0.38999999999998636
376.7	you	0.09000000000003183
376.79	can	0.3599999999999568
377.54	These	0.20999999999997954
377.75	three	0.20999999999997954
377.96	people	0.36000000000001364
